@relation german
@attribute CHK_ACCT {'<0','0<=X<200','>=200','unknown'}
@attribute DURATION real
@attribute HISTORY {'no credits taken','all credits at this bank paid back duly','existing credits paid back duly till now','delay in paying off in the past','critical account'}
@attribute PURPOSE {'EMPTY','NEW_CAR','USED_CAR','FURNITURE','RADIO/TV','EDUCATION','RETRAINING'}
@attribute AMOUNT real
@attribute SAV_ACCT {'<100','100<=X<500','500<=X<1000','>=1000','unknown'}
@attribute EMPLOYMENT {'unemployed','<1','1<=X<4','4<=X<7','>=7'}
@attribute INSTALL_RATE real
@attribute MARITIAL {'EMPTY','MALE_DIV','MALE_SINGLE','MALE_MAR'}
@attribute CO-APPLICANT { y , n }
@attribute GUARANTOR { y , n }
@attribute TIME_RES {'Dummy','<=1','1<X<=2','2<X<=3','>=4'}
@attribute REAL_ESTATE { y , n }
@attribute PROP_NONE { y , n }
@attribute AGE real
@attribute OTHER_INSTALL { y , n }
@attribute HOUSE {'EMPTY','RENT','OWN_RES'}
@attribute NUM_CREDITS real
@attribute JOB {'unemployed/ unskilled  - non-resident','unskilled - resident','skilled employee / official','management/ self-employed/highly qualified employee/ officer'}
@attribute NUM_DEPEND real
@attribute TELEPHONE { y , n }
@attribute FOREIGN { y , n }
@attribute class { good , bad }
@data
'0<=X<200',12,'existing credits paid back duly till now','NEW_CAR',1295,'<100','<1',3,EMPTY,n,n,'<=1',n,n,25,n,RENT,1,'skilled employee / official',1,n,n,bad
'<0',48,'existing credits paid back duly till now','RETRAINING',4308,'<100','<1',3,EMPTY,n,n,'>=4',n,n,24,n,RENT,1,'skilled employee / official',1,n,n,bad
'0<=X<200',12,'existing credits paid back duly till now','RADIO/TV',1567,'<100','1<=X<4',1,EMPTY,n,n,'<=1',n,n,22,n,OWN_RES,1,'skilled employee / official',1,y,n,good
'<0',24,'critical account','NEW_CAR',1199,'<100','>=7',4,MALE_SINGLE,n,n,'>=4',n,n,60,n,OWN_RES,2,'unskilled - resident',1,n,n,bad
'<0',15,'existing credits paid back duly till now','NEW_CAR',1403,'<100','1<=X<4',2,EMPTY,n,n,'>=4',n,n,28,n,RENT,1,'skilled employee / official',1,n,n,good
'<0',24,'existing credits paid back duly till now','RADIO/TV',1282,'100<=X<500','1<=X<4',4,EMPTY,n,n,'1<X<=2',n,n,32,n,OWN_RES,1,'unskilled - resident',1,n,n,bad
'unknown',24,'critical account','RADIO/TV',2424,'unknown','>=7',4,MALE_SINGLE,n,n,'>=4',n,n,53,n,OWN_RES,2,'skilled employee / official',1,n,n,good
'<0',30,'no credits taken','RETRAINING',8072,'unknown','<1',2,MALE_SINGLE,n,n,'2<X<=3',n,n,25,y,OWN_RES,3,'skilled employee / official',1,n,n,good
'0<=X<200',24,'existing credits paid back duly till now','USED_CAR',12579,'<100','>=7',4,EMPTY,n,n,'1<X<=2',n,y,44,n,EMPTY,1,'management/ self-employed/highly qualified employee/ officer',1,y,n,bad
'unknown',24,'existing credits paid back duly till now','RADIO/TV',3430,'500<=X<1000','>=7',3,MALE_SINGLE,n,n,'1<X<=2',n,n,31,n,OWN_RES,1,'skilled employee / official',2,y,n,good
'unknown',9,'critical account','NEW_CAR',2134,'<100','1<=X<4',4,MALE_SINGLE,n,n,'>=4',n,n,48,n,OWN_RES,3,'skilled employee / official',1,y,n,good
'<0',6,'existing credits paid back duly till now','RADIO/TV',2647,'500<=X<1000','1<=X<4',2,MALE_SINGLE,n,n,'2<X<=3',y,n,44,n,RENT,1,'skilled employee / official',2,n,n,good
'<0',10,'critical account','NEW_CAR',2241,'<100','<1',1,MALE_SINGLE,n,n,'2<X<=3',y,n,48,n,RENT,2,'unskilled - resident',2,n,y,good
'0<=X<200',12,'critical account','USED_CAR',1804,'100<=X<500','<1',3,MALE_SINGLE,n,n,'>=4',n,n,44,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'unknown',10,'critical account','FURNITURE',2069,'unknown','1<=X<4',2,MALE_MAR,n,n,'<=1',n,n,26,n,OWN_RES,2,'skilled employee / official',1,n,y,good
'<0',6,'existing credits paid back duly till now','FURNITURE',1374,'<100','1<=X<4',1,MALE_SINGLE,n,n,'1<X<=2',y,n,36,y,OWN_RES,1,'unskilled - resident',1,y,n,good
'unknown',6,'no credits taken','RADIO/TV',426,'<100','>=7',4,MALE_MAR,n,n,'>=4',n,n,39,n,OWN_RES,1,'unskilled - resident',1,n,n,good
'>=200',12,'all credits at this bank paid back duly','RADIO/TV',409,'>=1000','1<=X<4',3,EMPTY,n,n,'2<X<=3',y,n,42,n,RENT,2,'skilled employee / official',1,n,n,good
'0<=X<200',7,'existing credits paid back duly till now','RADIO/TV',2415,'<100','1<=X<4',3,MALE_SINGLE,n,y,'1<X<=2',y,n,34,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'<0',60,'delay in paying off in the past','RETRAINING',6836,'<100','>=7',3,MALE_SINGLE,n,n,'>=4',n,y,63,n,OWN_RES,2,'skilled employee / official',1,y,n,bad
'0<=X<200',18,'existing credits paid back duly till now','RETRAINING',1913,'>=1000','<1',3,MALE_MAR,n,n,'2<X<=3',y,n,36,y,OWN_RES,1,'skilled employee / official',1,y,n,good
'<0',24,'existing credits paid back duly till now','FURNITURE',4020,'<100','1<=X<4',2,MALE_SINGLE,n,n,'1<X<=2',n,n,27,y,OWN_RES,1,'skilled employee / official',1,n,n,good
'0<=X<200',18,'existing credits paid back duly till now','NEW_CAR',5866,'100<=X<500','1<=X<4',2,MALE_SINGLE,n,n,'1<X<=2',n,n,30,n,OWN_RES,2,'skilled employee / official',1,y,n,good
'unknown',12,'critical account','RETRAINING',1264,'unknown','>=7',4,MALE_SINGLE,n,n,'>=4',n,y,57,n,RENT,1,'unskilled - resident',1,n,n,good
'>=200',12,'existing credits paid back duly till now','FURNITURE',1474,'<100','<1',4,EMPTY,n,n,'<=1',n,n,33,y,OWN_RES,1,'management/ self-employed/highly qualified employee/ officer',1,y,n,good
'0<=X<200',45,'critical account','RADIO/TV',4746,'<100','<1',4,MALE_SINGLE,n,n,'1<X<=2',n,n,25,n,OWN_RES,2,'unskilled - resident',1,n,n,bad
'unknown',48,'critical account','EDUCATION',6110,'<100','1<=X<4',1,MALE_SINGLE,n,n,'2<X<=3',n,y,31,y,EMPTY,1,'skilled employee / official',1,y,n,good
'>=200',18,'existing credits paid back duly till now','RADIO/TV',2100,'<100','1<=X<4',4,MALE_SINGLE,y,n,'1<X<=2',y,n,37,y,OWN_RES,1,'skilled employee / official',1,n,n,bad
'>=200',10,'existing credits paid back duly till now',EMPTY,1225,'<100','1<=X<4',2,MALE_SINGLE,n,n,'1<X<=2',n,n,37,n,OWN_RES,1,'skilled employee / official',1,y,n,good
'0<=X<200',9,'existing credits paid back duly till now','RADIO/TV',458,'<100','1<=X<4',4,MALE_SINGLE,n,n,'2<X<=3',y,n,24,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'unknown',30,'existing credits paid back duly till now','RADIO/TV',2333,'500<=X<1000','>=7',4,MALE_SINGLE,n,n,'1<X<=2',n,n,30,y,OWN_RES,1,'management/ self-employed/highly qualified employee/ officer',1,n,n,good
'0<=X<200',12,'existing credits paid back duly till now','RADIO/TV',1158,'500<=X<1000','1<=X<4',3,MALE_DIV,n,n,'<=1',n,n,26,n,OWN_RES,1,'skilled employee / official',1,y,n,good
'0<=X<200',18,'delay in paying off in the past',EMPTY,6204,'<100','1<=X<4',2,MALE_SINGLE,n,n,'>=4',y,n,44,n,OWN_RES,1,'unskilled - resident',2,y,n,good
'<0',30,'critical account','USED_CAR',6187,'100<=X<500','4<=X<7',1,MALE_MAR,n,n,'>=4',n,n,24,n,RENT,2,'skilled employee / official',1,n,n,good
'<0',48,'critical account','USED_CAR',6143,'<100','>=7',4,EMPTY,n,n,'>=4',n,y,58,y,EMPTY,2,'unskilled - resident',1,n,n,bad
'unknown',11,'critical account','NEW_CAR',1393,'<100','<1',4,EMPTY,n,n,'>=4',n,n,35,n,OWN_RES,2,'management/ self-employed/highly qualified employee/ officer',1,n,n,good
'unknown',36,'existing credits paid back duly till now','RADIO/TV',2299,'500<=X<1000','>=7',4,MALE_SINGLE,n,n,'>=4',n,n,39,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'<0',6,'existing credits paid back duly till now','USED_CAR',1352,'500<=X<1000','unemployed',1,EMPTY,n,n,'1<X<=2',n,n,23,n,RENT,1,'unemployed/ unskilled  - non-resident',1,y,n,good
'unknown',11,'critical account','NEW_CAR',7228,'<100','1<=X<4',1,MALE_SINGLE,n,n,'>=4',n,n,39,n,OWN_RES,2,'unskilled - resident',1,n,n,good
'unknown',12,'existing credits paid back duly till now','RADIO/TV',2073,'100<=X<500','1<=X<4',4,EMPTY,y,n,'1<X<=2',y,n,28,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'0<=X<200',24,'delay in paying off in the past','FURNITURE',2333,'unknown','<1',4,MALE_SINGLE,n,n,'1<X<=2',n,n,29,y,OWN_RES,1,'unskilled - resident',1,n,n,good
'0<=X<200',27,'delay in paying off in the past','USED_CAR',5965,'<100','>=7',1,MALE_SINGLE,n,n,'1<X<=2',n,n,30,n,OWN_RES,2,'management/ self-employed/highly qualified employee/ officer',1,y,n,good
'unknown',12,'existing credits paid back duly till now','RADIO/TV',1262,'<100','1<=X<4',3,MALE_SINGLE,n,n,'1<X<=2',n,n,25,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'unknown',18,'existing credits paid back duly till now','USED_CAR',3378,'unknown','1<=X<4',2,MALE_SINGLE,n,n,'<=1',n,n,31,n,OWN_RES,1,'skilled employee / official',1,y,n,good
'0<=X<200',36,'delay in paying off in the past','NEW_CAR',2225,'<100','>=7',4,MALE_SINGLE,n,n,'>=4',n,y,57,y,EMPTY,2,'skilled employee / official',1,y,n,bad
'unknown',6,'all credits at this bank paid back duly','NEW_CAR',783,'unknown','1<=X<4',1,MALE_SINGLE,n,y,'1<X<=2',y,n,26,y,OWN_RES,1,'unskilled - resident',2,n,n,good
'0<=X<200',12,'existing credits paid back duly till now','RADIO/TV',6468,'unknown','unemployed',2,MALE_SINGLE,n,n,'<=1',n,y,52,n,OWN_RES,1,'management/ self-employed/highly qualified employee/ officer',1,y,n,bad
'unknown',36,'critical account','RADIO/TV',9566,'<100','1<=X<4',2,EMPTY,n,n,'1<X<=2',n,n,31,y,OWN_RES,2,'skilled employee / official',1,n,n,good
'>=200',18,'existing credits paid back duly till now','NEW_CAR',1961,'<100','>=7',3,EMPTY,n,n,'1<X<=2',n,n,23,n,OWN_RES,1,'management/ self-employed/highly qualified employee/ officer',1,n,n,good
'<0',36,'critical account','FURNITURE',6229,'<100','<1',4,EMPTY,y,n,'>=4',n,y,23,n,RENT,2,'unskilled - resident',1,y,n,bad
'0<=X<200',9,'existing credits paid back duly till now','RETRAINING',1391,'<100','1<=X<4',2,MALE_MAR,n,n,'<=1',y,n,27,y,OWN_RES,1,'skilled employee / official',1,y,n,good
'0<=X<200',15,'critical account','RADIO/TV',1537,'unknown','>=7',4,MALE_SINGLE,n,y,'>=4',y,n,50,n,OWN_RES,2,'skilled employee / official',1,y,n,good
'0<=X<200',36,'no credits taken','RETRAINING',1953,'<100','>=7',4,MALE_SINGLE,n,n,'>=4',n,y,61,n,EMPTY,1,'management/ self-employed/highly qualified employee/ officer',1,y,n,bad
'0<=X<200',48,'no credits taken','RETRAINING',14421,'<100','1<=X<4',2,MALE_SINGLE,n,n,'1<X<=2',n,n,25,n,OWN_RES,1,'skilled employee / official',1,y,n,bad
'unknown',24,'existing credits paid back duly till now','RADIO/TV',3181,'<100','<1',4,EMPTY,n,n,'>=4',n,n,26,n,OWN_RES,1,'skilled employee / official',1,y,n,good
'unknown',27,'existing credits paid back duly till now',EMPTY,5190,'unknown','>=7',4,MALE_SINGLE,n,n,'>=4',n,n,48,n,OWN_RES,4,'skilled employee / official',2,y,n,good
'unknown',12,'existing credits paid back duly till now','RADIO/TV',2171,'<100','<1',2,EMPTY,n,n,'1<X<=2',n,n,29,y,OWN_RES,1,'skilled employee / official',1,n,n,good
'0<=X<200',12,'existing credits paid back duly till now','NEW_CAR',1007,'>=1000','1<=X<4',4,MALE_MAR,n,n,'<=1',y,n,22,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'unknown',36,'existing credits paid back duly till now','EDUCATION',1819,'<100','1<=X<4',4,MALE_SINGLE,n,n,'>=4',n,y,37,y,EMPTY,1,'skilled employee / official',1,y,n,bad
'unknown',36,'existing credits paid back duly till now','RADIO/TV',2394,'unknown','1<=X<4',4,EMPTY,n,n,'>=4',n,n,25,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'unknown',36,'existing credits paid back duly till now','USED_CAR',8133,'<100','1<=X<4',1,EMPTY,n,n,'1<X<=2',n,n,30,y,OWN_RES,1,'skilled employee / official',1,n,n,good
'unknown',7,'critical account','RADIO/TV',730,'unknown','>=7',4,MALE_SINGLE,n,n,'1<X<=2',n,n,46,n,RENT,2,'unskilled - resident',1,y,n,good
'<0',8,'critical account',EMPTY,1164,'<100','>=7',3,MALE_SINGLE,n,n,'>=4',n,y,51,y,EMPTY,2,'management/ self-employed/highly qualified employee/ officer',2,y,n,good
'0<=X<200',42,'critical account','RETRAINING',5954,'<100','4<=X<7',2,EMPTY,n,n,'<=1',y,n,41,y,OWN_RES,2,'unskilled - resident',1,n,n,good
'<0',36,'existing credits paid back duly till now','EDUCATION',1977,'unknown','>=7',4,MALE_SINGLE,n,n,'>=4',n,y,40,n,OWN_RES,1,'management/ self-employed/highly qualified employee/ officer',1,y,n,bad
'<0',12,'critical account','USED_CAR',1526,'<100','>=7',4,MALE_SINGLE,n,n,'>=4',n,y,66,n,EMPTY,2,'management/ self-employed/highly qualified employee/ officer',1,n,n,good
'<0',42,'existing credits paid back duly till now','RADIO/TV',3965,'<100','<1',4,MALE_SINGLE,n,n,'2<X<=3',n,n,34,n,OWN_RES,1,'skilled employee / official',1,n,n,bad
'0<=X<200',11,'delay in paying off in the past','RADIO/TV',4771,'<100','4<=X<7',2,MALE_SINGLE,n,n,'>=4',n,n,51,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'unknown',54,'no credits taken','USED_CAR',9436,'unknown','1<=X<4',2,MALE_SINGLE,n,n,'1<X<=2',n,n,39,n,OWN_RES,1,'unskilled - resident',2,n,n,good
'0<=X<200',30,'existing credits paid back duly till now','FURNITURE',3832,'<100','<1',2,MALE_MAR,n,n,'<=1',n,n,22,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'unknown',24,'existing credits paid back duly till now','RADIO/TV',5943,'unknown','<1',1,EMPTY,n,n,'<=1',n,n,44,n,OWN_RES,2,'skilled employee / official',1,y,n,bad
'unknown',15,'existing credits paid back duly till now','RADIO/TV',1213,'500<=X<1000','>=7',4,MALE_SINGLE,n,n,'2<X<=3',n,n,47,y,OWN_RES,1,'skilled employee / official',1,y,n,good
'unknown',18,'existing credits paid back duly till now','RETRAINING',1568,'100<=X<500','1<=X<4',3,EMPTY,n,n,'>=4',n,n,24,n,RENT,1,'unskilled - resident',1,n,n,good
'<0',24,'existing credits paid back duly till now',EMPTY,1755,'<100','>=7',4,EMPTY,n,y,'>=4',y,n,58,n,OWN_RES,1,'unskilled - resident',1,y,n,good
'<0',10,'existing credits paid back duly till now','RADIO/TV',2315,'<100','>=7',3,MALE_SINGLE,n,n,'>=4',y,n,52,n,OWN_RES,1,'unskilled - resident',1,n,n,good
'unknown',12,'critical account','RETRAINING',1412,'<100','1<=X<4',4,EMPTY,n,y,'1<X<=2',y,n,29,n,OWN_RES,2,'management/ self-employed/highly qualified employee/ officer',1,y,n,good
'0<=X<200',18,'critical account','FURNITURE',1295,'<100','<1',4,EMPTY,n,n,'<=1',n,n,27,n,OWN_RES,2,'skilled employee / official',1,n,n,good
'0<=X<200',36,'existing credits paid back duly till now','EDUCATION',12612,'100<=X<500','1<=X<4',1,MALE_SINGLE,n,n,'>=4',n,y,47,n,EMPTY,1,'skilled employee / official',2,y,n,bad
'<0',18,'existing credits paid back duly till now','NEW_CAR',2249,'100<=X<500','4<=X<7',4,MALE_SINGLE,n,n,'2<X<=3',n,n,30,n,OWN_RES,1,'management/ self-employed/highly qualified employee/ officer',2,y,n,good
'<0',12,'no credits taken',EMPTY,1108,'<100','4<=X<7',4,MALE_SINGLE,n,n,'2<X<=3',y,n,28,n,OWN_RES,2,'skilled employee / official',1,n,n,bad
'unknown',12,'critical account','RADIO/TV',618,'<100','>=7',4,MALE_SINGLE,n,n,'>=4',y,n,56,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'<0',12,'critical account','USED_CAR',1409,'<100','>=7',4,MALE_SINGLE,n,n,'2<X<=3',y,n,54,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'unknown',12,'critical account','RADIO/TV',797,'unknown','>=7',4,EMPTY,n,n,'2<X<=3',n,n,33,y,OWN_RES,1,'unskilled - resident',2,n,n,bad
'>=200',24,'critical account','FURNITURE',3617,'unknown','>=7',4,MALE_SINGLE,y,n,'>=4',n,y,20,n,RENT,2,'skilled employee / official',1,n,n,good
'0<=X<200',12,'existing credits paid back duly till now','NEW_CAR',1318,'>=1000','>=7',4,MALE_SINGLE,n,n,'>=4',y,n,54,n,OWN_RES,1,'skilled employee / official',1,y,n,good
'0<=X<200',54,'no credits taken','RETRAINING',15945,'<100','<1',3,MALE_SINGLE,n,n,'>=4',n,y,58,n,RENT,1,'skilled employee / official',1,y,n,bad
'unknown',12,'critical account','EDUCATION',2012,'unknown','4<=X<7',4,EMPTY,n,n,'1<X<=2',n,n,61,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'0<=X<200',18,'existing credits paid back duly till now','RETRAINING',2622,'100<=X<500','1<=X<4',4,MALE_SINGLE,n,n,'>=4',n,n,34,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'0<=X<200',36,'critical account','RADIO/TV',2337,'<100','>=7',4,MALE_SINGLE,n,n,'>=4',y,n,36,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'0<=X<200',20,'delay in paying off in the past','USED_CAR',7057,'unknown','4<=X<7',3,MALE_SINGLE,n,n,'>=4',n,n,36,y,RENT,2,'management/ self-employed/highly qualified employee/ officer',2,y,n,good
'unknown',24,'existing credits paid back duly till now','NEW_CAR',1469,'100<=X<500','>=7',4,MALE_MAR,n,n,'>=4',y,n,41,n,RENT,1,'unskilled - resident',1,n,n,good
'0<=X<200',36,'existing credits paid back duly till now','RADIO/TV',2323,'<100','4<=X<7',4,MALE_SINGLE,n,n,'>=4',n,n,24,n,RENT,1,'skilled employee / official',1,n,n,good
'unknown',6,'delay in paying off in the past','RADIO/TV',932,'<100','1<=X<4',3,EMPTY,n,n,'1<X<=2',y,n,24,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'0<=X<200',9,'critical account','FURNITURE',1919,'<100','4<=X<7',4,MALE_SINGLE,n,n,'2<X<=3',n,n,35,n,RENT,1,'skilled employee / official',1,y,n,good
'unknown',12,'existing credits paid back duly till now','USED_CAR',2445,'unknown','<1',2,MALE_MAR,n,n,'>=4',n,n,26,n,RENT,1,'skilled employee / official',1,y,n,good
'0<=X<200',24,'critical account',EMPTY,11938,'<100','1<=X<4',2,MALE_SINGLE,y,n,'2<X<=3',n,n,39,n,OWN_RES,2,'management/ self-employed/highly qualified employee/ officer',2,y,n,bad
'unknown',18,'all credits at this bank paid back duly','NEW_CAR',6458,'<100','>=7',2,MALE_SINGLE,n,n,'>=4',n,y,39,y,OWN_RES,2,'management/ self-employed/highly qualified employee/ officer',2,y,n,bad
'0<=X<200',12,'existing credits paid back duly till now','NEW_CAR',6078,'<100','4<=X<7',2,MALE_SINGLE,n,n,'1<X<=2',n,n,32,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'<0',24,'existing credits paid back duly till now','FURNITURE',7721,'unknown','<1',1,EMPTY,n,n,'1<X<=2',n,n,30,n,OWN_RES,1,'skilled employee / official',1,y,y,good
'0<=X<200',14,'existing credits paid back duly till now','RETRAINING',1410,'500<=X<1000','>=7',1,MALE_MAR,n,n,'1<X<=2',y,n,35,n,OWN_RES,1,'skilled employee / official',1,y,n,good
'0<=X<200',6,'delay in paying off in the past','RETRAINING',1449,'100<=X<500','>=7',1,MALE_DIV,n,n,'1<X<=2',n,n,31,y,OWN_RES,2,'skilled employee / official',2,n,n,good
'>=200',15,'existing credits paid back duly till now','EDUCATION',392,'<100','<1',4,EMPTY,n,n,'>=4',n,n,23,n,RENT,1,'skilled employee / official',1,y,n,good
'0<=X<200',18,'existing credits paid back duly till now','NEW_CAR',6260,'<100','4<=X<7',3,MALE_SINGLE,n,n,'2<X<=3',y,n,28,n,RENT,1,'unskilled - resident',1,n,n,good
'unknown',36,'critical account','NEW_CAR',7855,'<100','1<=X<4',4,EMPTY,n,n,'1<X<=2',y,n,25,y,OWN_RES,2,'skilled employee / official',1,y,n,bad
'<0',12,'existing credits paid back duly till now','RADIO/TV',1680,'500<=X<1000','>=7',3,MALE_MAR,n,n,'<=1',y,n,35,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'unknown',48,'critical account','RADIO/TV',3578,'unknown','>=7',4,MALE_SINGLE,n,n,'<=1',y,n,47,n,OWN_RES,1,'skilled employee / official',1,y,n,good
'<0',42,'existing credits paid back duly till now','RADIO/TV',7174,'unknown','4<=X<7',4,EMPTY,n,n,'2<X<=3',n,n,30,n,OWN_RES,1,'management/ self-employed/highly qualified employee/ officer',1,y,n,bad
'<0',10,'critical account','FURNITURE',2132,'unknown','<1',2,EMPTY,y,n,'2<X<=3',y,n,27,n,RENT,2,'skilled employee / official',1,n,y,good
'<0',33,'critical account','FURNITURE',4281,'500<=X<1000','1<=X<4',1,EMPTY,n,n,'>=4',n,n,23,n,OWN_RES,2,'skilled employee / official',1,n,n,bad
'0<=X<200',12,'critical account','NEW_CAR',2366,'500<=X<1000','4<=X<7',3,MALE_DIV,n,n,'2<X<=3',n,n,36,n,OWN_RES,1,'management/ self-employed/highly qualified employee/ officer',1,y,n,good
'<0',21,'existing credits paid back duly till now','RADIO/TV',1835,'<100','1<=X<4',3,EMPTY,n,n,'1<X<=2',y,n,25,n,OWN_RES,2,'skilled employee / official',1,y,n,bad
'unknown',24,'critical account','USED_CAR',3868,'<100','>=7',4,EMPTY,n,n,'1<X<=2',n,n,41,n,RENT,2,'management/ self-employed/highly qualified employee/ officer',1,y,n,good
'unknown',12,'existing credits paid back duly till now','FURNITURE',1768,'<100','1<=X<4',3,MALE_SINGLE,n,n,'1<X<=2',y,n,24,n,RENT,1,'unskilled - resident',1,n,n,good
'>=200',10,'critical account','NEW_CAR',781,'<100','>=7',4,MALE_SINGLE,n,n,'>=4',n,y,63,n,EMPTY,2,'skilled employee / official',1,y,n,good
'0<=X<200',18,'existing credits paid back duly till now','FURNITURE',1924,'unknown','<1',4,EMPTY,n,n,'2<X<=3',y,n,27,n,RENT,1,'skilled employee / official',1,n,n,bad
'<0',12,'critical account','NEW_CAR',2121,'<100','1<=X<4',4,MALE_SINGLE,n,n,'1<X<=2',n,n,30,n,OWN_RES,2,'skilled employee / official',1,n,n,good
'<0',12,'existing credits paid back duly till now','RADIO/TV',701,'<100','1<=X<4',4,MALE_MAR,n,n,'1<X<=2',y,n,40,n,OWN_RES,1,'unskilled - resident',1,n,n,good
'0<=X<200',12,'existing credits paid back duly till now',EMPTY,639,'<100','1<=X<4',4,MALE_SINGLE,n,n,'1<X<=2',n,n,30,n,OWN_RES,1,'skilled employee / official',1,n,n,bad
'0<=X<200',12,'critical account','USED_CAR',1860,'<100','unemployed',4,MALE_SINGLE,n,n,'1<X<=2',n,n,34,n,OWN_RES,2,'management/ self-employed/highly qualified employee/ officer',1,y,n,good
'<0',12,'critical account','NEW_CAR',3499,'<100','1<=X<4',3,EMPTY,y,n,'1<X<=2',y,n,29,n,OWN_RES,2,'skilled employee / official',1,n,n,bad
'0<=X<200',48,'existing credits paid back duly till now','NEW_CAR',8487,'unknown','4<=X<7',1,EMPTY,n,n,'1<X<=2',n,n,24,n,OWN_RES,1,'skilled employee / official',1,n,n,good
'<0',36,'delay in paying off in the past','EDUCATION',6887,'<100','1<=X<4',4,MALE_SINGLE,n,n,'2<X<=3',n,n,29,y,OWN_RES,1,'skilled employee / official',1,y,n,bad
'unknown',15,'existing credits paid back duly till now','FURNITURE',2708,'<100','<1',2,MALE_SINGLE,n,n,'2<X<=3',n,n,27,y,OWN_RES,2,'unskilled - resident',1,n,n,good
